TITLE,ASSIGNMENT,RACE/ETHNICITY,GENDER,AGE,YEARS_IN_SERVICE,DEGREE,CITY_RESIDENT?,AGENCY
POLICE LIEUTENANT,ANALYTICAL INTELLIGENCE SEC,WHITE,MALE,51,21,3 YEARS COLLEGE,YES,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,MALE,49,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,MALE,34,6,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,MALE,56,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,MALE,35,13,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,FEMALE,41,18,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,WHITE,MALE,43,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,WHITE,MALE,45,12,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,WHITE,MALE,46,24,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,MALE,57,38,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,WHITE,MALE,64,18,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,MALE,34,14,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER (EID),ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,MALE,52,18,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,ANALYTICAL INTELLIGENCE SEC,WHITE,MALE,55,27,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,ANALYTICAL INTELLIGENCE SEC,KOREAN,MALE,46,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,ANALYTICAL INTELLIGENCE SEC,WHITE,MALE,43,21,3 YEARS COLLEGE,NO,BPD
POLICE LIEUTENANT,CENTRAL DISTRICT,WHITE,MALE,51,21,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE LIEUTENANT,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,53,25,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,CENTRAL DISTRICT,WHITE,MALE,44,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,CENTRAL DISTRICT,WHITE,MALE,43,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,CENTRAL DISTRICT,AMER-INDIAN,MALE,42,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE MAJOR/DIRECTOR,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,44,25,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,28,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,27,3,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,29,3,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,26,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,23,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,24,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,24,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,29,3,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER ASIAN,MALE,27,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,27,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,21,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,27,5,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,26,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,30,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,39,3,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,23,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,38,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,28,5,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,35,12,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,65,40,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,51,31,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,30,6,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,28,5,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,30,6,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,36,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,37,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,29,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,24,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,24,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,23,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,26,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,25,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,27,3,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,25,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,23,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,32,3,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,23,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,PUERTO RICAN,MALE,22,3,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,34,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,29,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,28,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,29,4,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,28,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,24,3,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER ASIAN,MALE,20,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,36,3,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,28,4,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,26,4,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,40,3,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,28,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,24,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,23,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,30,0,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,FEMALE,24,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,24,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,27,3,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,28,4,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,26,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,33,4,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,31,4,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,26,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,27,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,25,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,24,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,33,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,29,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,43,3,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,26,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,FEMALE,21,2,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,FEMALE,27,2,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,22,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,38,1,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,37,1,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,33,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,39,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,42,15,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,46,11,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,50,8,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,29,8,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,57,8,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,46,18,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,29,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,52,27,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,40,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,30,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,32,9,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,30,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,51,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,50,21,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,45,23,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,46,17,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,41,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,46,15,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,30,6,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,39,4,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,31,9,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,40,5,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,38,6,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,41,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,28,5,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,50,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,PUERTO RICAN,MALE,29,5,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,32,5,,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,45,15,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,35,14,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,26,4,,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,39,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,FEMALE,35,10,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,33,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,45,11,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,43,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,44,13,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,39,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,43,18,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,42,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,30,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,38,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,44,18,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,64,38,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,49,24,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,44,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,53,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,52,32,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,46,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,35,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,43,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,34,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,41,21,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,FEMALE,39,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,46,24,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,47,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,46,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,36,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,39,8,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,51,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,39,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,40,17,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,36,11,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,33,10,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,29,8,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,38,10,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,37,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,28,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,OTHER HISPANIC,MALE,45,9,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,41,20,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,CENTRAL DISTRICT,WHITE,MALE,29,7,3 YEARS COLLEGE,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,44,22,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,45,14,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,44,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,MALE,40,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,MALE,41,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,MALE,43,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,MALE,39,17,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,MALE,47,19,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,59,40,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE LIEUTENANT,DDU-CD,WHITE,MALE,45,22,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,AFRICAN AMERICAN,FEMALE,43,8,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,AFRICAN AMERICAN,MALE,42,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,MALE,45,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,MALE,51,28,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,FEMALE,57,24,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,WHITE,MALE,40,8,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,CENTRAL DISTRICT,OTHER HISPANIC,MALE,43,14,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,COMMUNICATIONS UNIT,AFRICAN AMERICAN,MALE,63,32,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,COMMUNICATIONS UNIT,AFRICAN AMERICAN,MALE,56,32,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE SERGEANT,COMMUNICATIONS UNIT,WHITE,FEMALE,33,8,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,COMMUNICATIONS UNIT,AFRICAN AMERICAN,FEMALE,44,18,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,COMMUNICATIONS UNIT,WHITE,MALE,59,41,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,COMMUNICATIONS UNIT,WHITE,FEMALE,52,25,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,COMMUNICATIONS UNIT,AFRICAN AMERICAN,MALE,49,28,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,COMMUNICATIONS UNIT,AFRICAN AMERICAN,MALE,40,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,45,20,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE LIEUTENANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,45,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT COLONEL,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,55,36,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,55,7,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,39,13,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,55,22,HGH SCHOOL GRADUATE,YES,BPD
